,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
东丽,0,0,0,0,0,,,,
西青,0,0,0,0,0,,,,
津南,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
静海县,0,0,0,0,0,,,,
蓟县,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
广西,426,0,321,2,0,0.0,,,
境外输入,173,0,70,0,0,,,,
南宁,56,0,56,0,0,,,,
北海,44,0,43,1,0,,,,
桂林,32,0,32,0,0,,,,
河池,28,0,27,1,0,,,,
柳州,24,0,24,0,0,,,,
防城港,19,0,19,0,0,,,,
玉林,11,0,11,0,0,,,,
来宾,11,0,11,0,0,,,,
贵港,8,0,8,0,0,,,,
钦州,8,0,8,0,0,,,,
梧州,5,0,5,0,0,,,,
贺州,4,0,4,0,0,,,,
百色,3,0,3,0,0,,,,
境外输入人员,1,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
崇左,0,0,0,0,0,,,,
甘肃,344,0,342,2,0,0.0,,,
兰州,119,0,117,2,0,,,,
境外输入,108,0,108,0,0,,,,
天水,51,0,51,0,0,,,,
张掖,17,0,17,0,0,,,,
定西,9,0,9,0,0,,,,
平凉,9,0,9,0,0,,,,
甘南州,8,0,8,0,0,,,,
陇南,6,0,6,0,0,,,,
嘉峪关,5,0,5,0,0,,,,
白银,4,0,4,0,0,,,,
临夏,3,0,3,0,0,,,,
庆阳,3,0,3,0,0,,,,
金昌,1,0,1,0,0,,,,
未明确地区,1,0,1,0,0,,,,
兰州新区,1,0,0,0,0,,,,
酒泉,0,0,0,0,0,,,,
武威,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
甘南,0,0,0,0,0,,,,
山西,265,0,260,0,0,0.0,,,
境外输入,127,0,122,0,0,,,,
晋中,41,0,41,0,0,,,,
太原,21,0,21,0,0,,,,
运城,19,0,19,0,0,,,,
大同,12,0,12,0,0,,,,
晋城,10,0,10,0,0,,,,
长治,8,0,8,0,0,,,,
朔州,8,0,8,0,0,,,,
忻州,7,0,7,0,0,,,,
吕梁,6,0,6,0,0,,,,
阳泉,4,0,4,0,0,,,,
临汾,2,0,2,0,0,,,,
未明确地区,0,0,2,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
海南,190,0,184,6,0,0.0,,,
三亚,55,0,54,1,0,,,,
海口,41,0,41,0,0,,,,
境外输入,19,0,19,0,0,,,,
儋州,15,0,14,1,0,,,,
万宁,13,0,13,0,0,,,,
澄迈县,9,0,8,1,0,,,,
昌江县,7,0,7,0,0,,,,
琼海,6,0,5,1,0,,,,
临高县,6,0,6,0,0,,,,
陵水县,4,0,4,0,0,,,,
文昌,3,0,3,0,0,,,,
东方,3,0,2,1,0,,,,
定安县,3,0,2,1,0,,,,
保亭,3,0,3,0,0,,,,
乐东,2,0,2,0,0,,,,
琼中县,1,0,1,0,0,,,,
白沙黎族自治县,0,0,0,0,0,,,,
保亭县,0,0,0,0,0,,,,
西沙群岛,0,0,0,0,0,,,,
未明确地区,0,0,1,0,0,,,,
中沙群岛的岛礁及其海域,0,0,0,0,0,,,,
屯昌县,0,0,0,0,0,,,,
五指山,0,0,0,0,0,,,,
昌江,0,0,0,0,0,,,,
陵水,0,0,0,0,0,,,,
南沙群岛,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
贵州,159,0,157,2,0,0.0,,,
遵义,44,0,44,0,0,,,,
贵阳,36,0,35,1,0,,,,
毕节,23,0,23,0,0,,,,
黔南州,17,0,17,0,0,,,,
黔东南州,10,0,10,0,0,,,,
六盘水,10,0,9,1,0,,,,
铜仁,10,0,10,0,0,,,,
黔西南州,4,0,4,0,0,,,,
安顺,4,0,4,0,0,,,,
境外输入,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
宁夏,122,0,122,0,0,0.0,,,
银川,68,0,68,0,0,,,,
吴忠,39,0,39,0,0,,,,
固原,5,0,5,0,0,,,,
中卫,4,0,4,0,0,,,,
境外输入,4,0,4,0,0,,,,
石嘴山,1,0,1,0,0,,,,
宁东管委会,1,0,1,0,0,,,,
宁东,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
澳门,77,0,77,0,0,0.0,,,
未明确地区,77,0,77,0,0,,,,
青海,30,0,30,0,0,0.0,,,
西宁,26,0,26,0,0,,,,
海北州,3,0,3,0,0,,,,
海东,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
西藏,1,0,1,0,0,0.0,,,
拉萨,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
日本本土,1727828,0,1708638,18364,0,0.0,,,
东京,343642,0,301921,2476,0,0.0,,,
大阪府,168736,0,134743,2784,0,0.0,,,
神奈川县,147848,0,127360,1109,0,0.0,,,
埼玉县,101151,0,83870,895,0,0.0,,,
千叶县,86838,0,69587,855,0,0.0,,,
爱知县,83780,0,61262,1021,0,0.0,,,
兵库县,66653,0,54880,1336,0,0.0,,,
福冈县,65127,0,51630,572,0,0.0,,,
北海道,56801,0,50250,1449,0,0.0,,,
冲绳县,42757,0,35512,259,0,0.0,,,
京都府,30225,0,21673,250,0,0.0,,,
静冈县,22534,0,15648,171,0,0.0,,,
茨城县,20644,0,18004,187,0,0.0,,,
广岛县,18691,0,14975,179,0,0.0,,,
岐阜县,15490,0,12386,195,0,0.0,,,
群马县,14937,0,12125,160,0,0.0,,,
宫城县,14760,0,12208,102,0,0.0,,,
冈山县,13384,0,10253,128,0,0.0,,,
栃木县,13267,0,11208,104,0,0.0,,,
奈良县,13174,0,11342,138,0,0.0,,,
熊本县,12557,0,9884,128,0,0.0,,,
三重县,12381,0,7599,131,0,0.0,,,
滋贺县,10593,0,8070,96,0,0.0,,,
福岛县,8784,0,7468,162,0,0.0,,,
鹿儿岛县,8106,0,6245,46,0,0.0,,,
长野县,7877,0,6850,93,0,0.0,,,
石川县,7260,0,6456,124,0,0.0,,,
大分县,7002,0,5389,68,0,0.0,,,
新潟县,6774,0,5638,54,0,0.0,,,
东京都,5544,0,4824,313,0,0.0,,,
宫崎县,5429,0,4159,32,0,0.0,,,
长崎县,5269,0,4454,69,0,0.0,,,
佐贺县,5153,0,3472,27,0,0.0,,,
山口县,4955,0,4102,85,0,0.0,,,
爱媛县,4651,0,3933,79,0,0.0,,,
和歌山县,4568,0,3854,52,0,0.0,,,
山梨县,4497,0,3671,25,0,0.0,,,
富山县,4380,0,3086,42,0,0.0,,,
青森县,4359,0,3348,32,0,0.0,,,
香川县,4300,0,3401,33,0,0.0,,,
高知县,3535,0,2602,31,0,0.0,,,
山形县,3232,0,2682,49,0,0.0,,,
德岛县,2747,0,2094,62,0,0.0,,,
福井县,2578,0,2199,36,0,0.0,,,
秋田县,1624,0,1325,23,0,0.0,,,
鸟取县,1459,0,1135,4,0,0.0,,,
岛根县,1379,0,1097,2,0,0.0,,,
检疫等工作人员,1055,0,0,0,0,0.0,,,
钻石公主号邮轮,712,0,655,13,0,0.0,,,
兵庫县,699,0,652,42,0,0.0,,,
